Ano,Melhor Ator,Melhor Ator_Nacionalidade,Melhor Ator_Etnia,Melhor Atriz,Melhor Atriz_Nacionalidade,Melhor Atriz_Etnia,Melhor Diretor,Melhor Diretor_Nacionalidade,Melhor Diretor_Etnia,Melhor Ator Coadjuvante,Melhor Ator Coadjuvante_Nacionalidade,Melhor Ator Coadjuvante_Etnia,Melhor Atriz Coadjuvante,Melhor Atriz Coadjuvante_Nacionalidade,Melhor Atriz Coadjuvante_Etnia
1929,Emil Jannings,Suíça,,Janet Gaynor,EUA,,Lewis Milestone,Moldova],,,,,,,
1930,Warner Baxter,EUA,,Mary Pickford,Canadá,,Frank Lloyd,Reino Unido,,,,,,,
1931,Lionel Barrymore,EUA,,Marie Dressler,Canadá,,Norman Taurog,EUA,,,,,,,
1932,Wallace Beery,EUA,,Helen Hayes,EUA,,Frank Borzage,EUA,,,,,,,
1934,Charles Laughton,Reino Unido,,Katharine Hepburn,EUA,,Frank Lloyd,Reino Unido,,,,,,,
1935,Clark Gable,EUA,,Claudette Colbert,França,,Frank Capra,Itália,,,,,,,
1936,Victor McLaglen,Reino Unido,,Bette Davis,EUA,,John Ford,EUA,,,,,,,
1937,Paul Muni,Ucrânia],,Luise Rainer,Alemanha,,Frank Capra,Itália,,Walter Brennan,EUA,,Gale Sondergaard,EUA,
1938,Spencer Tracy,EUA,,Luise Rainer,Alemanha,,Leo McCarey,EUA,,Joseph Schildkraut,Áustria-Hungria [atual Áustria],,Alice Brady,EUA,
1939,Spencer Tracy,EUA,,Bette Davis,EUA,,Frank Capra,Itália,,Walter Brennan,EUA,,Fay Bainter,EUA,
1940,Robert Donat,Reino Unido,,Vivien Leigh,India],,Victor Fleming,EUA,,Thomas Mitchell,EUA,,Hattie McDaniel,EUA,
1941,James Stewart,EUA,,Ginger Rogers,EUA,,John Ford,EUA,,Walter Brennan,EUA,,Jane Darwell,EUA,
1942,Gary Cooper,EUA,,Joan Fontaine,Japão,,John Ford,EUA,,Donald Crisp,Reino Unido,,Mary Astor,EUA,
1943,James Cagney,EUA,,Greer Garson,Reino Unido,,William Wyler,France],,Van Heflin,EUA,,Teresa Wright,EUA,
1944,Paul Lukas,Áustria-Hungria [atual Hungria],,Jennifer Jones,EUA,,Michael Curtiz,Áustria-Hungria [atual Hungria],,Charles Coburn,EUA,,Katina Paxinou,Grécia,
1945,Bing Crosby,EUA,,Ingrid Bergman,Suécia,,Leo McCarey,EUA,,Barry Fitzgerald,Irlanda,,Ethel Barrymore,EUA,
1946,Ray Milland,Reino Unido,,Joan Crawford,EUA,,Billy Wilder,Poland],,James Dunn,EUA,,Anne Revere,EUA,
1947,Fredric March,EUA,,Olivia de Havilland,Japão,,William Wyler,France],,Harold Russell,Canadá,,Anne Baxter,EUA,
1948,Ronald Colman,Reino Unido,,Loretta Young,EUA,,Elia Kazan,Ottoman Empire,,Edmund Gwenn,Reino Unido,,Celeste Holm,EUA,
1949,Laurence Olivier,Reino Unido,,Jane Wyman,EUA,,John Huston,EUA,,Walter Huston,Canadá,,Claire Trevor,EUA,
1950,Broderick Crawford,EUA,,Olivia de Havilland,Japão,,Joseph L. Mankiewicz,EUA,,Dean Jagger,EUA,,Mercedes McCambridge,EUA,
1951,José Ferrer,Porto Rico,,Judy Holliday,EUA,,Joseph L. Mankiewicz,EUA,,George Sanders,Império Russo [atual Rússia],,Josephine Hull,EUA,
1952,Humphrey Bogart,EUA,,Vivien Leigh,India],,George Stevens,EUA,,Karl Malden,EUA,,Kim Hunter,EUA,
1953,Gary Cooper,EUA,,Shirley Booth,EUA,,John Ford,EUA,,Anthony Quinn,México,,Gloria Grahame,EUA,
1954,William Holden,EUA,,Audrey Hepburn,Bélgica,,Fred Zinnemann,Austria-Hungary,,Frank Sinatra,EUA,,Donna Reed,EUA,
1955,Marlon Brando,EUA,,Grace Kelly,EUA,,Elia Kazan,Ottoman Empire,,Edmond O'Brien,EUA,,Eva Marie Saint,EUA,
1956,Ernest Borgnine,EUA,,Anna Magnani,Itália,,Delbert Mann,EUA,,Jack Lemmon,EUA,,Jo Van Fleet,EUA,
1957,Yul Brynner,Russia],,Ingrid Bergman,Suécia,,George Stevens,EUA,,Anthony Quinn,México,,Dorothy Malone,EUA,
1958,Alec Guinness,Reino Unido,,Joanne Woodward,EUA,,David Lean,Reino Unido,,Red Buttons,EUA,,Miyoshi Umeki,Japão,
1959,David Niven,Reino Unido,,Susan Hayward,EUA,,Vincente Minnelli,EUA,,Burl Ives,EUA,,Wendy Hiller,Reino Unido,
1960,Charlton Heston,EUA,,Simone Signoret,Alemanha,,William Wyler,France],,Hugh Griffith,Reino Unido,,Shelley Winters,EUA,
1961,Burt Lancaster,EUA,,Elizabeth Taylor,Reino Unido,,Billy Wilder,Poland],,Peter Ustinov,Reino Unido,,Shirley Jones,EUA,
1962,Maximilian Schell,Áustria,,Sophia Loren,Itália,,,,,George Chakiris,EUA,,Rita Moreno,Porto Rico,
1963,Gregory Peck,EUA,,Anne Bancroft,EUA,,David Lean,Reino Unido,,Ed Begley,EUA,,Patty Duke,EUA,
1964,Sidney Poitier,EUA,,Patricia Neal,EUA,,Tony Richardson,Reino Unido,,Melvyn Douglas,EUA,,Margaret Rutherford,Reino Unido,
1965,Rex Harrison,UK],,Julie Andrews,Reino Unido,,George Cukor,EUA,,Peter Ustinov,Reino Unido,,Lila Kedrova,Russia],
1966,Lee Marvin,EUA,,Julie Christie,India],,Robert Wise,EUA,,Martin Balsam,EUA,,Shelley Winters,EUA,
1967,Paul Scofield,Reino Unido,,Elizabeth Taylor,Reino Unido,,Fred Zinnemann,Austria-Hungary,,Walter Matthau,EUA,,Sandy Dennis,EUA,
1968,Rod Steiger,EUA,,Katharine Hepburn,EUA,,Mike Nichols,Alemanha,,George Kennedy,EUA,,Estelle Parsons,EUA,
1969,Cliff Robertson,EUA,,Katharine Hepburn,EUA,,Carol Reed,Reino Unido,,Jack Albertson,EUA,,Ruth Gordon,EUA,
